name,address,postal code,city1,st,city,Country,type,check,website,Link to Contact Data,Opening Hours (Url when available),Tags (seperate by comma),Short description English,Short description local language,Image Filename/Link,Image License,Image Credit,Email-Address,is Mail public,Telephone Number,Phone public,GeocodeQualityType,lon,lat,Source,Completed by,organic,fair-trade,regional,category-tag1,category-tag2,category-tag3
1871,"222 W. Merchandise Mart Plaza, Suite 1212",60654,Chicago,IL,"Chicago, IL 60654",USA,Coworking Space,yes,http://www.1871.com/,,,,,,,,,,,,,,-87.63612199,41.88802611,Steve Ediger,SE,,,,,,
1335 ASTOR CO-OP BUILDING,1335 N ASTOR ST,60610,Chicago,IL,"Chicago, IL 60610",USA,Housing Coop,yes,https://www.dkcondo.com/managed-associations/1335-astor-co-op/,,,,,,,,,,,312-943-7500,,,-87.6271603,41.9069583,SEWG,DC,,,,,,
1530 N STATE PKWY CO-OP,1530 N STATE PKWY,60610,Chicago,IL,"Chicago, IL 60610",USA,Housing Coop,yes,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,312.944.8945 or 312.751.0900 (Sudler Property Management),,,-87.6291461,41.9105834,SEWG,DC,,,,,,
1800 South Troy Block Club Garden,1842 S Troy St,60623,Chicago,IL,"Chicago, IL 60623",USA,Community Garden,yes,http://neighbor-space.org/2012/04/21/1800-south-troy-block-club-garden/,,,,,,,,,,,,,,-87.70425024,41.85595552,Neighborspace,SE,,,,,,
1900 S. Avers Block Club Garden,1900 S Avers,,Chicago,IL,"Chicago, IL",USA,Community Garden,no,,,,,,,,,,,,,,,-87.7214429,41.8548959,SEWG,DC,,,,,,
1900 South Ridgeway Ave,1900 S Ridgeway Ave,,Chicago,IL,"Chicago, IL",USA,Community Garden,no,http://neighbor-space.org/2011/05/19/1900-s-ridgeway-enabling-garden-2/,,,,,,,,,,,773.895.2128,,,-87.719115,41.854895,SEWG,DC,,,,,,
2100 South Central Park Block Club Garden,2117 S Central Park Ave,60623,Chicago,IL,"Chicago, IL 60623",USA,Community Garden,yes,http://neighbor-space.org/2011/05/19/2100-south-central-park-block-club-garden/,,,,,,,,,,,,,,-87.71492829,41.85232583,Neighborspace,SE,,,,,,
2450 LAKEVIEW CO-OP,2450 N LAKEVIEW AVE,,Chicago,IL,"Chicago, IL",USA,Housing Coop,yes,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,773.348.2063 or 312.335.1950 (First Service Chicago Office),,,-87.6393435,41.9271996,SEWG,DC,,,,,,
2840 N. Francisco,2840 N. Francisco,60618,Chicago,IL,"Chicago, IL 60618",USA,Housing Coop,no,http://chicagocoop.net/directory/,,,,,,,,,,,,,,,,SEWG,DC,,,,,,
3317 West Walnut Garden,3317 W Walnut St,60624,Chicago,IL,"Chicago, IL 60624",USA,Community Garden,yes,http://neighbor-space.org/2012/07/21/3317-west-walnut-garden/,,,,,,,,,,,,,,-87.70911151,41.88526629,Neighborspace,SE,,,,,,
