ID,ent-name,ent-adrs,ent-adrs-pub,ent-zip,ent-city,ent-cnty,ent-st,ent-cntry,website,ent-cnct,ent-cnct-pub,ent-email,ent-email-pub,ent-phone,ent-phone-pub,ent-type,ent-include,disp-adrs-zip,disp-output,geo-scope,ent-tags,ent-desc-eng,ent-desc-loglang,ent-img-link,ent-img-lic,ent-img-crdt,lon,lat,rec-src,rec-udt-by,rec-updt-date
1,1335 ASTOR CO-OP BUILDING,1335 N ASTOR ST,yes,60610,Chicago,,IL,USA,https://www.dkcondo.com/managed-associations/1335-astor-co-op/,,,,,312-943-7500,yes,Housing Coop,yes,address,both,local,,,,,,,-87.6271603,41.9069583,SEWG,DC,2020-12-26
2,1530 N STATE PKWY CO-OP,1530 N STATE PKWY,yes,60610,Chicago,,IL,USA,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,"312.944.8945,312.751.0900",yes,Housing Coop,yes,address,both,local,,,,,,,-87.6291461,41.9105834,SEWG,DC,2020-12-26
3,1800 South Troy Block Club Garden,1842 S Troy St,yes,60623,Chicago,,IL,USA,http://neighbor-space.org/2012/04/21/1800-south-troy-block-club-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.70425024,41.85595552,Neighborspace,SE,2020-12-26
4,1871,"222 W. Merchandise Mart Plaza, Suite 1212",yes,60654,Chicago,,IL,USA,http://www.1871.com/,,,,,,,Coworking Space,yes,address,both,local,,,,,,,-87.63612199,41.88802611,Steve Ediger,SE,2020-12-26
5,1900 S. Avers Block Club Garden,1900 S Avers,yes,60623,Chicago,,IL,USA,http://neighbor-space.org/1900-s-avers-block-club-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.7214429,41.8548959,SEWG,DC,2020-12-26
6,1900 South Ridgeway Enabling Garden,1900 S Ridddway Ave,yes,60623,Chicago,,IL,USA,http://neighbor-space.org/2011/05/19/1900-s-ridgeway-enabling-garden-2/,,,,,773.895.2128,yes,Community Garden,yes,address,both,local,,,,,,,,,SEWG,DC,2020-12-26
7,2100 South Central Park Block Club Garden,2117 S Central Park Ave,yes,60623,Chicago,,IL,USA,http://neighbor-space.org/2011/05/19/2100-south-central-park-block-club-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.71492829,41.85232583,Neighborspace,SE,2020-12-26
8,2450 LAKEVIEW CO-OP,2450 N LAKEVIEW AVE,yes,60614,Chicago,,IL,USA,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,"773.348.2063,312.335.1950",yes,Housing Coop,yes,address,both,local,,,,,,,-87.6393435,41.9271996,SEWG,DC,2020-12-26
9,2840 N. Francisco,2840 N. Francisco,yes,60618,Chicago,,IL,USA,http://chicagocoop.net/directory/,,,,,,,Housing Coop,yes,address,both,local,,,,,,,,,SEWG,DC,2020-12-26
10,3317 West Walnut Garden,3317 W Walnut St,yes,60624,Chicago,,IL,USA,http://neighbor-space.org/2012/07/21/3317-west-walnut-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.70911151,41.88526629,Neighborspace,SE,2020-12-26
11,3500 NORTH LAKE SHORE DR CO-OP,3500 N LAKE SHORE DR,yes,60657,Chicago,,IL,USA,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,(773) 327-8660,yes,Housing Coop,yes,address,both,local,,,,,,,-87.6428605,41.9469092,SEWG,DC,2020-12-26
12,3800 Fillmore Block Club Garden of Hope,3834 W Fillmore St,yes,60624,Chicago,,IL,USA,http://neighbor-space.org/2012/06/24/3800-fillmore-block-club-garden-of-hope/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.72132783,41.86812772,Neighborspace,SE,2020-12-26
13,399 COOPERATIVE CORP,399 W FULLERTON PKWY,yes,60614,Chicago,,IL,USA,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,(773) 348-0390,yes,Housing Coop,yes,address,both,local,,,,,,,-87.6390351,41.9254114,SEWG,DC,2020-12-26
14,4 Star Courier Collective LLC,2040 N Milwaukee Ave,yes,60647,Chicago,,IL,USA,fourstarcourier.com,,,,,,,Workers Collective,yes,address,both,local,,,,,,,-87.68988891,41.91823851,Shareable Map,SE,2020-12-26
15,42nd Street Garden,4200 S Vincennes,yes,60653,Chicago,,IL,USA,no website or facebook,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.6139326,41.8183809,SEWG,DC,2020-12-26
16,4400 Maypole Block Club Gardens,222-30 N Kenneth Ave,yes,60624,Chicago,,IL,USA,http://neighbor-space.org/2011/05/19/4400-maypole-block-club-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.723846,41.877445,Neighborspace,SE,2020-12-26
17,500 West 103rd Place Garden,533 W 103rd Pl,yes,60628,Chicago,,IL,USA,http://neighbor-space.org/2012/06/24/500-west-103rd-place-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.63633928,41.70599107,Neighborspace,SE,2020-12-26
18,57TH STREET BOOKS,1301 E 57TH ST,yes,60637,Chicago,,IL,USA,https://www.semcoop.com/,,,,,(773) 684-1300,yes,Housing Coop,yes,address,both,local,,,,,,,-87.5946818,41.7912322,SEWG,DC,2020-12-26
19,6062Trees,2612 S Trumbull Ave,yes,60623,Chicago,,IL,USA,http://neighbor-space.org/2012/06/23/26th-and-trumbull-pocket-park/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.71121419,41.84420071,Accelerate77,SE,2020-12-26
20,61st Street Farmers Market,6100 S. Blackstone Ave.,yes,60637,Chicago,,IL,USA,https://www.dnainfo.com/chicago/20160407/downtown/chicago-farmers-markets-heres-schedule-map,,,,,,,Farmers Market,yes,address,both,local,,,,,,,-87.59038586,41.78388065,City of Chicago Farmers Markets,SE,2020-12-26
21,62Garden (West Side),6183 S Dorchester Ave,yes,60637,Chicago,,IL,USA,62garden.com,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.5913065,41.78260014,Shareable Map,SE,2020-12-26
22,62nd & Central Green Space,6200-08 S Central Ave,yes,60638,Chicago,,IL,USA,http://neighbor-space.org/2011/05/20/ubam-park62nd-central-green-space/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.774356,41.781649,Neighborspace,SE,2020-12-26
23,65th and Woodlawn Community Garden,1228 E. 65th St.,yes,60643,Chicago,,IL,USA,http://www.65thandwoodlawn.com,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.59567637,41.77697449,Accelerate77,SE,2020-12-26
24,6900 South Dante Garden,1422 E 69th St,yes,60637,Chicago,,IL,USA,http://neighbor-space.org/2012/07/24/6900-south-dante-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.58979589,41.76974772,Neighborspace,SE,2020-12-26
25,69th and Stewart Block Club Garden,6946 S Stewart Ave,yes,60621,Chicago,,IL,USA,http://neighbor-space.org/2012/05/24/69th-and-stewart-block-club-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.63482752,41.76813646,Neighborspace,SE,2020-12-26
26,71st & Crandon Organic Garden,2301 E 71st St,yes,60649,Chicago,,IL,USA,no website or facebook,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.568681,41.765958,SEWG,DC,2020-12-26
27,77th Street Depot Federal Credit Union,5401 S Wentworth Ave Suite 26,yes,60609,Chicago,,IL,USA,http://www.77thstreetdepotfcu.org/,,,,,(773)846-7137,yes,Credit Union,yes,address,both,local,,,,,,,-87.63046153,41.79623768,creditunionaccess.com,eaz,2020-12-26
28,7900 South Lowe Block Club Park,7932 S Lowe Ave,yes,60620,Chicago,,IL,USA,http://neighbor-space.org/2012/06/24/7900-south-lowe-block-club-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.64044753,41.74996543,Neighborspace,SE,2020-12-26
29,820 w Belle Plaine Coop,820 w Belle Plaine,yes,60613,Chicago,,IL,USA,http://www.uhab.org/coopresearch,,,,,,,Housing Coop,yes,address,both,local,,,,,,,-87.650805,41.957651,SEWG,DC,2020-12-26
30,821 Ridge,821 Ridge Ave,yes,60202,Evanston,,IL,USA,http://chicagocoop.net/directory/,,,,,,,Housing Coop,yes,address,both,local,,,,,,,-87.6862656,42.0330356,SEWG,DC,2020-12-26
31,A Just Harvest,7649 N. Paulina St,yes,60626,Chicago,,IL,USA,www.ajustharvest.org,,,,,,,food bank,yes,address,both,local,,,,,,,-87.67299693,42.02026184,Accelerate77,SE,2020-12-26
32,A Knock At Midnight,400 W. 76th Street #206,yes,60620,Chicago,,IL,USA,www.akamworks.org,,,,,,,Community Center,yes,address,both,local,,,,,,,-87.63446338,41.75634365,Accelerate77,SE,2020-12-26
33,Able Community,212 W Washington St Apt 1205,yes,60606,Chicago,,IL,USA,http://www.ablecommunitychicago.org/faq/,,,,,,,Housing Coop,yes,address,both,local,,,,,,,-87.6345125,41.8838363,SEWG,DC,2020-12-26
34,ACME CONTINENTAL CREDIT UNION,55 E JACKSON BLVD # 150,yes,60604,Chicago,,IL,USA,https://www.acmecontinentalcu.com/,,,,,(312) 822-4986,yes,Credit Union,yes,address,both,local,,,,,,,-87.6254637,41.8780086,SEWG,DC,2020-12-26
35,ACRE (Artists' Cooperative Residency & Exhibitions),1345 W 19th Street,yes,60608,Chicago,,IL,USA,acreresidency.org,,,,,,,Arts Centre,yes,address,both,local,,,,,,,-87.6605631,41.85598019,Shareable Map,SE,2020-12-26
36,Active Transportation Alliance,"9 W. Hubbard St, #402",yes,60654,Chicago,,IL,USA,www.activetrans.org,,,,,,,Social Workshop,yes,address,both,local,,,,,,,-87.62833889,41.88996977,Accelerate77,SE,2020-12-26
37,Addison and Avondale Mural Garden,3571 N Avondale Ave,yes,60618,Chicago,,IL,USA,https://www.govserv.org/US/Chicago/136491123111933/Mural-at-Addison-%26-Avondale,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.7197893,41.946479,SEWG,DC,2020-12-26
38,Advocates for Urban Agriculture,"159 N. Sangamon Street, Suite 200",yes,60607,Chicago,,IL,USA,https://auachicago.org/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.65082636,41.88359432,SEWG,DC,2020-12-26
39,African Heritage Garden,3546 W. 12th Place,yes,60623,Chicago,,IL,USA,http://neighbor-space.org/2011/05/19/african-heritage-garden/,,,,,,,Community Garden,yes,address,both,local,,,,,,,-87.71410959,41.86524301,Accelerate77,SE,2020-12-26
40,Agitator cooperative gallery,1112 N Ashland Ave ,yes,60622,Chicago,,IL,USA,http://www.agitatorgallery.com,,,,,,,Cooperative,yes,address,both,local,,,,,,,-87.6677806,41.9019617,Gretchen Hasse,SE,2020-12-26
