ID,name,address,zipcode,city,st,citystzip,country,type,Include,website,contact_fkey,hours,tags,desc_english,lang_other,desc_lang_other,image_fkey,image_licsense,image_credit,email,ismailpub,phone_private,phone_public,lon,lat,temp_lon,temp_lat,Source,Completed by,organic,fair-trade,coop,coop_type
1,1871,"222 W. Merchandise Mart Plaza, Suite 1212",60654,Chicago,IL,"Chicago, IL 60654",USA,Coworking Space,yes,http://www.1871.com/,,,,,,,,,,,,,,-87.63612199,41.88802611,#ERROR!,#ERROR!,Steve Ediger,SE,,,,
2,1335 ASTOR CO-OP BUILDING,1335 N ASTOR ST,60610,Chicago,IL,"Chicago, IL 60610",USA,Housing Coop,yes,https://www.dkcondo.com/managed-associations/1335-astor-co-op/,,,,,,,,,,,,,312-943-7500,-87.6271603,41.9069583,#ERROR!,#ERROR!,SEWG,DC,,,,
3,1530 N STATE PKWY CO-OP,1530 N STATE PKWY,60610,Chicago,IL,"Chicago, IL 60610",USA,Housing Coop,yes,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,,,312.944.8945 or 312.751.0900 (Sudler Property Management),-87.6291461,41.9105834,#ERROR!,#ERROR!,SEWG,DC,,,,
4,1800 South Troy Block Club Garden,1842 S Troy St,60623,Chicago,IL,"Chicago, IL 60623",USA,Community Garden,yes,http://neighbor-space.org/2012/04/21/1800-south-troy-block-club-garden/,,,,,,,,,,,,,,-87.70425024,41.85595552,#ERROR!,#ERROR!,Neighborspace,SE,,,,
5,1900 S. Avers Block Club Garden,1900 S Avers,,Chicago,IL,"Chicago, IL ",USA,Community Garden,no,,,,,,,,,,,,,,,-87.7214429,41.8548959,,,SEWG,DC,,,,
6,1900 South Ridgeway Ave,1900 S Ridgeway Ave,,Chicago,IL,"Chicago, IL ",USA,Community Garden,no,http://neighbor-space.org/2011/05/19/1900-s-ridgeway-enabling-garden-2/,,,,,,,,,,,,,773.895.2128,-87.719115,41.854895,,,SEWG,DC,,,,
7,2100 South Central Park Block Club Garden,2117 S Central Park Ave,60623,Chicago,IL,"Chicago, IL 60623",USA,Community Garden,yes,http://neighbor-space.org/2011/05/19/2100-south-central-park-block-club-garden/,,,,,,,,,,,,,,-87.71492829,41.85232583,#ERROR!,#ERROR!,Neighborspace,SE,,,,
8,2450 LAKEVIEW CO-OP,2450 N LAKEVIEW AVE,,Chicago,IL,"Chicago, IL ",USA,Housing Coop,yes,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,,,773.348.2063 or 312.335.1950 (First Service Chicago Office),-87.6393435,41.9271996,#ERROR!,#ERROR!,SEWG,DC,,,,
9,2840 N. Francisco,2840 N. Francisco,60618,Chicago,IL,"Chicago, IL 60618",USA,Housing Coop,yes,http://chicagocoop.net/directory/,,,,,,,,,,,,,,,,#ERROR!,#ERROR!,SEWG,DC,,,,
10,3317 West Walnut Garden,3317 W Walnut St,60624,Chicago,IL,"Chicago, IL 60624",USA,Community Garden,yes,http://neighbor-space.org/2012/07/21/3317-west-walnut-garden/,,,,,,,,,,,,,,-87.70911151,41.88526629,#ERROR!,#ERROR!,Neighborspace,SE,,,,
11,3500 NORTH LAKE SHORE DR CO-OP,3500 N LAKE SHORE DR,60657,Chicago,IL,"Chicago, IL 60657",USA,Housing Coop,yes,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,,,(773) 327-8660,-87.6428605,41.9469092,#ERROR!,#ERROR!,SEWG,DC,,,,
12,3800 Fillmore Block Club Garden of Hope,3834 W Fillmore St,60624,Chicago,IL,"Chicago, IL 60624",USA,Community Garden,yes,http://neighbor-space.org/2012/06/24/3800-fillmore-block-club-garden-of-hope/,,,,,,,,,,,,,,-87.72132783,41.86812772,#ERROR!,#ERROR!,Neighborspace,SE,,,,
13,399 COOPERATIVE CORP,399 W FULLERTON PKWY,60614,Chicago,IL,"Chicago, IL 60614",USA,Housing Coop,yes,https://mce.uwcc.wisc.edu/Cooperatives_map/,,,,,,,,,,,,,(773) 348-0390,-87.6390351,41.9254114,#ERROR!,#ERROR!,SEWG,DC,,,,
14,4 Star Courier Collective LLC,2040 N Milwaukee Ave,60647,Chicago,IL,"Chicago, IL 60647",USA,Workers Collective,yes,fourstarcourier.com,,,,,,,,,,,,,,-87.68988891,41.91823851,#ERROR!,#ERROR!,Shareable Map,SE,,,,
15,42nd Street Garden,4200 S Vincennes,60653,Chicago,IL,"Chicago, IL 60653",USA,Housing Coop,yes,no website or facebook,,,,,,,,,,,,,,-87.6139326,41.8183809,#ERROR!,#ERROR!,SEWG,DC,,,,
16,4400 Maypole Block Club Gardens,222-30 N Kenneth Ave,60624,Chicago,IL,"Chicago, IL 60624",USA,Community Garden,yes,http://neighbor-space.org/2011/05/19/4400-maypole-block-club-garden/,,,,,,,,,,,,,,-87.723846,41.877445,#ERROR!,#ERROR!,Neighborspace,SE,,,,
